Title,Year,Rating,Duration_minutes,Rating_Amount,Group_Category
Longlegs,2024,7.2,101,7,R
Twisters,2024,7.1,122,28000,PG-13
Hillbilly Elegy,2020,6.7,116,7,R
Descendants: The Rise of Red,2024,4.6,91,25000,TV-G
Deadpool & Wolverine,2024,6.5,127,6,R
Twister,1996,7.8,113,50000,PG-13
Inside Out 2,2024,6.5,96,4,PG
Beverly Hills Cop: Axel F,2024,6.9,118,3600,R
Horizon: An American Saga - Chapter 1,2024,,181,6,R
Gladiator II,2024,6.8,132,225000,PG-13
Fly Me to the Moon,2024,6.5,104,7,PG
IF,2024,,150,84000,PG-13
Captain America: Brave New World,2025,8.7,145,6,R
Maharaja,2024,7.0,116,52000,R
Kingdom of the Planet of the Apes,2024,6.9,103,6,PG
The Bikeriders,2023,6.8,94,13000,PG-13
MaXXXine,2024,6.3,99,6,R
Despicable Me 4,2024,6.7,148,7900,PG
A Quiet Place: Day One,2024,7.6,180,6,R
Furiosa: A Mad Max Saga,2024,7.7,112,32000,R
Kalki 2898 AD,2024,6.7,143,8,PG-13
The Long Game,2023,4.5,0,23000,R
Tyler Perry's Divorce in the Black,2024,,109,7,PG-13
Beetlejuice Beetlejuice,2024,7.1,0,77000,R
Civil War,2024,,112,6,R
The Killer,2024,5.6,119,28000,R
My Spy: The Eternal City,2024,,111,6,R
Alien: Romulus,2024,5.4,103,13000,R
A Family Affair,2024,6.1,115,6,R
Anyone But You,2023,6.9,116,16000,R
Hit Man,2023,6.6,105,6,R
Lee,2023,6.5,92,41000,R
X,2022,5.2,130,7,R
Vanished Into the Night,2024,,113,140000,PG
It Ends with Us,2024,6.6,105,7,PG-13
Land of Bad,2024,7.4,164,40000,PG-13
Beverly Hills Cop,1984,7.0,119,6,R
Kinds of Kindness,2024,6.4,105,3500,R
The Convert,2023,6.4,120,4,R
The Beekeeper,2024,6.8,155,2300,R
The Ministry of Ungentlemanly Warfare,2024,8.5,95,7,R
Gladiator,2000,8.1,126,136000,PG-13
Inside Out,2015,6.9,166,5,R
The Fall Guy,2024,8.6,115,3700,R
Dune: Part Two,2024,6.9,109,5,R
Bad Boys: Ride or Die,2024,6.6,140,24000,R
Abigail,2024,7.8,180,6,PG-13
The Substance,2024,8.3,105,105000,PG-13
Oppenheimer,2023,7.9,115,6,R
Kill,2023,6.1,112,71000,R
Godzilla x Kong: The New Empire,2024,7.4,131,6,PG-13
A Different Man,2024,7.2,104,424,R
Challengers,2024,6.7,103,6,PG-13
Love Lies Bleeding,2024,7.0,102,184000,TV-MA
Pearl,2022,5.7,194,5,R
The Watchers,2024,7.9,131,2600,R
Titanic,1997,6.3,132,6,PG
The King's Man,2021,7.6,110,30000,PG-13
The Iron Claw,2023,4.9,129,7,R
Space Cadet,2024,6.6,176,215000,R
The Dead Don't Hurt,2023,7.8,93,7,PG
The Batman,2022,6.5,141,15000,R
Find Me Falling,2024,7.9,108,6,PG-13
Poor Things,2023,8.0,155,1600,PG
Deadpool,2016,8.4,91,6,PG-13
Sarfira,2024,6.0,105,117000,PG-13
Trolls Band Together,2023,,138,6,PG-13
Trap,2024,6.4,142,54000,PG-13
Leave the World Behind,2023,9.3,101,8,PG
The Shawshank Redemption,1994,5.7,120,0,Not Rated
The Garfield Movie,2024,8.1,130,8,TV-MA
Mad Max: Fury Road,2015,8.2,129,813000,R
Top Gun: Maverick,2022,7.6,102,6,PG-13
Young Woman and the Sea,2024,,90,124000,R
Borderlands,2024,7.5,116,8,R
A Quiet Place,2018,4.0,98,481000,R
Madame Web,2024,7.3,92,6,R
Thelma,2024,7.5,94,36000,R
Beetlejuice,1988,5.7,159,6,R
In a Violent Nature,2024,7.5,127,53000,Not Rated
Eyes Wide Shut,1999,6.9,115,7,R
Presumed Innocent,1990,6.1,175,565,R
Ghostbusters: Frozen Empire,2024,9.2,189,8,R
The Godfather,1972,7.1,103,772000,R
Babylon,2022,7.2,161,7,PG-13
Heathers,1988,7.6,95,7600,R
Once Upon a Time... in Hollywood,2019,4.1,93,6,PG-13
The Exorcism,2024,7.0,132,91000,PG
Late Night with the Devil,2023,7.1,119,7,R
